Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Panic Room,"$96,397,334 ","$100,000,081 ","$196,397,415 ",Sony Pictures Entertainment (SPE),"$30,056,751 ","$48,000,000 ",29-Mar-02,R,1 hr 52 min,"Crime
    
        Drama
    
        Thriller"
The Sum of All Fears,"$118,907,036 ","$75,014,336 ","$193,921,372 ",Paramount Pictures,"$31,178,526 ","$68,000,000 ",31-May-02,PG-13,2 hr 4 min,"Action
    
        Drama
    
        Thriller
    
        War"
Road to Perdition,"$104,454,762 ","$76,546,716 ","$181,001,478 ",DreamWorks Distribution,"$22,079,481 ","$80,000,000 ",12-Jul-02,R,1 hr 57 min,"Crime
    
        Drama
    
        Thriller"
Sweet Home Alabama,"$127,223,418 ","$53,399,006 ","$180,622,424 ",Walt Disney Studios Motion Pictures,"$35,648,740 ","$30,000,000 ",27-Sep-02,PG-13,1 hr 48 min,"Comedy
    
        Romance"
8 Mile,"$116,750,901 ","$126,124,177 ","$242,875,078 ",Universal Pictures,"$51,240,555 ","$41,000,000 ",8-Nov-02,R,1 hr 50 min,"Drama
    
        Music"
Mr. Deeds,"$126,293,452 ","$44,976,083 ","$171,269,535 ",Sony Pictures Entertainment (SPE),"$37,162,787 ","$50,000,000 ",28-Jun-02,PG-13,1 hr 36 min,"Comedy
    
        Romance"
The Bourne Identity,"$121,661,683 ","$92,372,541 ","$214,034,224 ",Universal Pictures,"$27,118,640 ","$60,000,000 ",14-Jun-02,PG-13,1 hr 59 min,"Action
    
        Mystery
    
        Thriller"
The Ring,"$129,128,133 ","$120,220,800 ","$249,348,933 ",DreamWorks Distribution,"$15,015,393 ","$48,000,000 ",18-Oct-02,PG-13,1 hr 55 min,"Horror
    
        Mystery"
xXx,"$142,109,382 ","$135,339,000 ","$277,448,382 ",Revolution Studios,"$44,506,103 ","$70,000,000 ",9-Aug-02,PG-13,2 hr 4 min,"Action
    
        Adventure
    
        Thriller"
Lilo & Stitch,"$145,794,338 ","$127,349,813 ","$273,144,151 ",Walt Disney Studios Motion Pictures,"$35,260,212 ","$80,000,000 ",21-Jun-02,PG,1 hr 25 min,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Sci-Fi"
Minority Report,"$132,072,926 ","$226,300,000 ","$358,372,926 ",Twentieth Century Fox,"$35,677,125 ","$102,000,000 ",21-Jun-02,PG-13,2 hr 25 min,"Action
    
        Crime
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Die Another Day,"$160,942,139 ","$271,028,977 ","$431,971,116 ",Metro-Goldwyn-Mayer (MGM),"$47,072,040 ","$142,000,000 ",22-Nov-02,PG-13,2 hr 13 min,"Action
    
        Adventure
    
        Thriller"
Men in Black II,"$190,418,803 ","$251,400,000 ","$441,818,803 ",Sony Pictures Entertainment (SPE),"$52,148,751 ","$140,000,000 ",3-Jul-02,PG-13,1 hr 28 min,"Action
    
        Adventure
    
        Comedy
    
        Mystery
    
        Sci-Fi"
Scooby-Doo,"$153,294,164 ","$122,356,539 ","$275,650,703 ",Warner Bros.,"$54,155,312 ","$84,000,000 ",14-Jun-02,PG,1 hr 29 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Mystery"
Austin Powers in Goldmember,"$213,307,889 ","$83,630,912 ","$296,938,801 ",New Line Cinema,"$73,071,188 ","$63,000,000 ",26-Jul-02,PG-13,1 hr 34 min,"Action
    
        Adventure
    
        Comedy
    
        Crime"
The Lord of the Rings: The Fellowship of the Ring,"$313,364,114 ","$567,475,732 ","$880,839,846 ",New Line Cinema,"$47,211,490 ","$93,000,000 ",19-Dec-01,PG-13,2 hr 58 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy"
Ice Age,"$176,387,405 ","$206,869,731 ","$383,257,136 ",Twentieth Century Fox,"$46,312,454 ","$59,000,000 ",15-Mar-02,PG,1 hr 21 min,"Adventure
    
        Animation
    
        Comedy
    
        Family"
Signs,"$227,966,634 ","$180,281,283 ","$408,247,917 ",Walt Disney Studios Motion Pictures,"$60,117,080 ","$72,000,000 ",2-Aug-02,PG-13,1 hr 46 min,"Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Harry Potter and the Chamber of Secrets,"$261,988,482 ","$616,991,152 ","$878,979,634 ",Warner Bros.,"$88,357,488 ","$100,000,000 ",15-Nov-02,PG,2 hr 41 min,"Adventure
    
        Family
    
        Fantasy
    
        Mystery"
Star Wars: Episode II - Attack of the Clones,"$302,191,252 ","$343,065,200 ","$645,256,452 ",Twentieth Century Fox,"$80,027,814 ","$115,000,000 ",16-May-02,PG,2 hr 22 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
The Lord of the Rings: The Two Towers,"$339,789,881 ","$596,899,854 ","$936,689,735 ",New Line Cinema,"$62,007,528 ","$94,000,000 ",18-Dec-02,PG-13,2 hr 59 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy"
Flight of the Phoenix,"$21,009,180 ","$14,012,317 ","$35,021,497 ",Twentieth Century Fox,"$5,019,430 ","$45,000,000 ",17-Dec-04,PG-13,1 hr 53 min,"Action
    
        Adventure
    
        Drama
    
        Romance
    
        Thriller"
