Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Jason Bourne,"$162,434,410","$253,050,504","$415,484,914",Universal Pictures,"$59,215,365","$120,000,000","Jul 29, 2016",PG-13,2 hr 3 min,"Action
    
        Thriller"
Ghostbusters,"$128,350,574","$100,796,935","$229,147,509",Sony Pictures Entertainment (SPE),"$46,018,755","$144,000,000","Jul 15, 2016",PG-13,1 hr 57 min,"Action
    
        Comedy
    
        Fantasy
    
        Sci-Fi"
Kung Fu Panda 3,"$143,528,619","$377,642,206","$521,170,825",Twentieth Century Fox,"$41,282,042","$145,000,000","Jan 29, 2016",PG,1 hr 35 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Sing,"$270,395,425","$363,756,254","$634,151,679",Universal Pictures,"$35,258,145","$75,000,000","Dec 21, 2016",PG,1 hr 48 min,"Animation
    
        Comedy
    
        Family
    
        Musical"
Suicide Squad,"$325,100,054","$421,746,840","$746,846,894",Warner Bros.,"$133,682,248","$175,000,000","Aug 5, 2016",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
Batman v Superman: Dawn of Justice,"$330,360,194","$543,274,725","$873,634,919",Warner Bros.,"$166,007,347","$250,000,000","Mar 25, 2016",PG-13,2 hr 32 min,"Action
    
        Adventure
    
        Sci-Fi"
Star Wars: Episode VII - The Force Awakens,"$936,662,225","$1,131,561,399","$2,068,223,624",Walt Disney Studios Motion Pictures,"$247,966,675","$245,000,000","Dec 18, 2015",PG-13,2 hr 18 min,"Action
    
        Adventure
    
        Sci-Fi"
Fantastic Beasts and Where to Find Them,"$234,037,575","$580,000,000","$814,037,575",Warner Bros.,"$74,403,387","$180,000,000","Nov 18, 2016",PG-13,2 hr 12 min,"Adventure
    
        Family
    
        Fantasy"
Doctor Strange,"$232,641,920","$445,076,475","$677,718,395",Walt Disney Studios Motion Pictures,"$85,058,311","$165,000,000","Nov 4, 2016",PG-13,1 hr 55 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
Deadpool,"$363,070,709","$419,541,446","$782,612,155",Twentieth Century Fox,"$132,434,639","$58,000,000","Feb 12, 2016",R,1 hr 48 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi"
Your Highness,"$21,596,445","$6,417,288","$28,013,733",Universal Pictures,"$9,360,020","$49,900,000","Apr 8, 2011",R,1 hr 42 min,"Adventure
    
        Comedy
    
        Fantasy
    
        Romance"
Captain America: Civil War,"$408,084,349","$745,211,944","$1,153,296,293",Walt Disney Studios Motion Pictures,"$179,139,142","$250,000,000","May 6, 2016",PG-13,2 hr 27 min,"Action
    
        Adventure
    
        Sci-Fi"
The Jungle Book,"$364,001,123","$602,549,477","$966,550,600",Walt Disney Studios Motion Pictures,"$103,261,464","$175,000,000","Apr 15, 2016",PG,1 hr 46 min,"Adventure
    
        Drama
    
        Family
    
        Fantasy"
Rogue One: A Star Wars Story,"$532,177,324","$523,879,949","$1,056,057,273",Walt Disney Studios Motion Pictures,"$155,081,681","$200,000,000","Dec 16, 2016",PG-13,2 hr 13 min,"Action
    
        Adventure
    
        Sci-Fi"
Gulliver's Travels,"$42,779,261","$194,603,463","$237,382,724",Twentieth Century Fox,"$6,307,691","$112,000,000","Dec 25, 2010",PG,1 hr 25 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy"
The Secret Life of Pets,"$368,384,330","$507,073,607","$875,457,937",Universal Pictures,"$104,352,905","$75,000,000","Jul 8, 2016",PG,1 hr 27 min,"Adventure
    
        Animation
    
        Comedy
    
        Family"
Monte Carlo,"$23,186,769","$16,595,914","$39,782,683",Twentieth Century Fox,"$7,453,944","$20,000,000","Jul 1, 2011",PG,1 hr 49 min,"Adventure
    
        Comedy
    
        Family
    
        Romance"
Sanctum,"$23,209,310","$85,400,000","$108,609,310",Universal Pictures,"$9,447,930","$30,000,000","Feb 4, 2011",R,1 hr 48 min,"Action
    
        Adventure
    
        Drama
    
        Thriller"
Our Idiot Brother,"$24,816,118","$988,330","$25,804,448",The Weinstein Company,"$7,011,631","$5,000,000","Aug 26, 2011",R,1 hr 30 min,"Comedy
    
        Drama"
The Sitter,"$30,441,326","$4,500,862","$34,942,188",Twentieth Century Fox,"$9,851,435","$25,000,000","Dec 9, 2011",R,1 hr 21 min,Comedy
Season of the Witch,"$24,827,228","$66,800,000","$91,627,228",Relativity Media,"$10,612,375","$40,000,000","Jan 7, 2011",PG-13,1 hr 35 min,"Action
    
        Adventure
    
        Fantasy"
Don't Be Afraid of the Dark,"$24,046,682","$14,222,847","$38,269,529",FilmDistrict,"$8,525,728","$25,000,000","Aug 26, 2011",R,1 hr 39 min,"Fantasy
    
        Horror
    
        Thriller"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950","$311,299,267","$415,686,217",Twentieth Century Fox,"$24,005,069","$155,000,000","Dec 10, 2010",PG,1 hr 53 min,"Adventure
    
        Family
    
        Fantasy"
Beastly,"$27,865,571","$15,336,712","$43,202,283",CBS Films,"$9,851,102","$17,000,000","Mar 4, 2011",PG-13,1 hr 26 min,"Drama
    
        Fantasy
    
        Romance"
Killer Elite,"$25,124,966","$31,959,556","$57,084,522",Open Road Films (II),"$9,352,008","$70,000,000","Sep 23, 2011",R,1 hr 56 min,"Action
    
        Crime
    
        Thriller"
Abduction,"$28,087,155","$54,000,000","$82,087,155",Lionsgate,"$10,925,253","$35,000,000","Sep 23, 2011",PG-13,1 hr 46 min,"Action
    
        Mystery
    
        Thriller"
The Rite,"$33,047,633","$63,512,958","$96,560,591",Warner Bros.,"$14,789,393","$37,000,000","Jan 28, 2011",PG-13,1 hr 54 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller"
The Mechanic,"$29,121,498","$47,008,595","$76,130,093",CBS Films,"$11,422,006","$40,000,000","Jan 28, 2011",R,1 hr 33 min,"Action
    
        Crime
    
        Thriller"
Priest,"$29,137,000","$49,172,505","$78,309,505",Screen Gems,"$14,953,664","$60,000,000","May 13, 2011",PG-13,1 hr 27 min,"Action
    
        Adventure
    
        Fantasy
    
        Horror
    
        Sci-Fi
    
        Thriller"
The Debt,"$31,177,548","$14,458,820","$45,636,368",Focus Features,"$9,909,499","$20,000,000","Aug 31, 2011",R,1 hr 53 min,"Drama
    
        Thriller"
Arthur,"$33,035,397","$15,112,548","$48,147,945",Warner Bros.,"$12,222,756","$40,000,000","Apr 8, 2011",PG-13,1 hr 50 min,"Comedy
    
        Romance"
Courageous,"$34,522,221","$663,663","$35,185,884",TriStar Pictures,"$9,112,839","$2,000,000","Sep 30, 2011",PG-13,2 hr 10 min,Drama
A Very Harold & Kumar Christmas,"$35,061,031","$1,131,744","$36,192,775",Warner Bros.,"$12,954,142","$19,000,000","Nov 4, 2011",R,1 hr 30 min,"Adventure
    
        Comedy"
Drive,"$35,061,555","$41,915,111","$76,976,666",FilmDistrict,"$11,340,461","$15,000,000","Sep 16, 2011",R,1 hr 40 min,"Action
    
        Drama"
Oldboy,"$2,193,658","$2,993,109","$5,186,767",FilmDistrict,"$885,382","$30,000,000","Nov 27, 2013",R,1 hr 44 min,"Action
    
        Drama
    
        Mystery
    
        Thriller"
50/50,"$35,014,192","$6,083,661","$41,097,853",Summit Entertainment,"$8,644,095","$8,000,000","Sep 30, 2011",R,1 hr 40 min,"Comedy
    
        Drama
    
        Romance"
Trance,"$2,328,743","$21,932,826","$24,261,569",Fox Searchlight Pictures,"$131,145","$20,000,000","Apr 5, 2013",R,1 hr 41 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Larry Crowne,"$35,608,245","$39,446,825","$75,055,070",Universal Pictures,"$13,096,065","$30,000,000","Jul 1, 2011",PG-13,1 hr 38 min,"Comedy
    
        Drama
    
        Romance"
Sucker Punch,"$36,392,502","$53,400,000","$89,792,502",Warner Bros.,"$19,058,199","$82,000,000","Mar 25, 2011",PG-13,1 hr 50 min,"Action
    
        Adventure
    
        Fantasy"
War Horse,"$79,884,879","$97,700,000","$177,584,879",Walt Disney Studios Motion Pictures,"$7,515,402","$66,000,000","Dec 25, 2011",PG-13,2 hr 26 min,"Action
    
        Adventure
    
        Drama
    
        History
    
        War"
Colombiana,"$36,665,854","$26,792,586","$63,458,440",TriStar Pictures,"$10,408,176","$40,000,000","Aug 26, 2011",PG-13,1 hr 48 min,"Action
    
        Drama
    
        Thriller"
30 Minutes or Less,"$37,053,924","$3,608,708","$40,662,632",Sony Pictures Entertainment (SPE),"$13,330,118","$28,000,000","Aug 12, 2011",R,1 hr 23 min,"Action
    
        Comedy
    
        Crime"
In Time,"$37,520,095","$136,410,501","$173,930,596",Twentieth Century Fox,"$12,050,368","$40,000,000","Oct 28, 2011",PG-13,1 hr 49 min,"Action
    
        Sci-Fi
    
        Thriller"
The Change-Up,"$37,081,475","$38,368,962","$75,450,437",Universal Pictures,"$13,531,115","$52,000,000","Aug 5, 2011",R,1 hr 52 min,"Comedy
    
        Fantasy"
Jumping the Broom,"$37,295,394","$863,207","$38,158,601",TriStar Pictures,"$15,215,487","$6,600,000","May 6, 2011",PG-13,1 hr 52 min,"Comedy
    
        Drama"
Paul,"$37,412,945","$60,571,070","$97,984,015",Universal Pictures,"$13,043,310","$40,000,000","Mar 18, 2011",R,1 hr 44 min,"Adventure
    
        Comedy
    
        Sci-Fi"
Red Riding Hood,"$37,662,162","$52,598,214","$90,260,376",Warner Bros.,"$14,005,335","$42,000,000","Mar 11, 2011",PG-13,1 hr 40 min,"Fantasy
    
        Horror
    
        Mystery
    
        Romance
    
        Thriller"
"Big Mommas: Like Father, Like Son","$37,915,414","$44,770,652","$82,686,066",Twentieth Century Fox,"$16,300,803","$32,000,000","Feb 18, 2011",PG-13,1 hr 47 min,"Action
    
        Comedy
    
        Crime"
Scream 4,"$38,180,928","$58,957,758","$97,138,686",Dimension Films,"$18,692,090","$40,000,000","Apr 15, 2011",R,1 hr 51 min,"Horror
    
        Mystery"
Spy Kids 4: All the Time in the World,"$38,538,188","$47,026,122","$85,564,310",Dimension Films,"$11,644,672","$27,000,000","Aug 19, 2011",PG,1 hr 29 min,"Action
    
        Adventure
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Music
    
        Musical
    
        Sci-Fi
    
        Sport"
Final Destination 5,"$42,587,643","$115,300,000","$157,887,643",Warner Bros.,"$18,031,396","$40,000,000","Aug 12, 2011",R,1 hr 32 min,"Action
    
        Horror
    
        Thriller"
Hanna,"$40,259,119","$23,522,959","$63,782,078",Focus Features,"$12,370,549","$30,000,000","Apr 8, 2011",PG-13,1 hr 51 min,"Action
    
        Adventure
    
        Drama
    
        Thriller"
Something Borrowed,"$39,046,489","$26,053,880","$65,100,369",Warner Bros.,"$13,945,368","$35,000,000","May 6, 2011",PG-13,1 hr 52 min,"Comedy
    
        Drama
    
        Romance"
Yogi Bear,"$100,246,011","$103,263,363","$203,509,374",Warner Bros.,"$16,411,322","$80,000,000","Dec 17, 2010",PG,1 hr 21 min,"Adventure
    
        Animation
    
        Comedy
    
        Family"
Tangled,"$200,821,936","$391,639,796","$592,461,732",Walt Disney Studios Motion Pictures,"$48,767,052","$260,000,000","Nov 24, 2010",PG,1 hr 40 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Romance"
Hall Pass,"$45,060,734","$41,096,503","$86,157,237",Warner Bros.,"$13,535,374","$36,000,000","Feb 25, 2011",R,1 hr 45 min,"Comedy
    
        Romance"
Soul Surfer,"$43,853,424","$3,267,524","$47,120,948",TriStar Pictures,"$10,601,862","$18,000,000","Apr 8, 2011",PG,1 hr 52 min,"Biography
    
        Drama
    
        Family
    
        Sport"
New Year's Eve,"$54,544,638","$87,500,000","$142,044,638",Warner Bros.,"$13,019,180","$56,000,000","Dec 9, 2011",PG-13,1 hr 58 min,"Comedy
    
        Romance"
The Dilemma,"$48,475,290","$21,246,676","$69,721,966",Universal Pictures,"$17,816,230","$70,000,000","Jan 14, 2011",PG-13,1 hr 51 min,"Comedy
    
        Drama"
The Girl with the Dragon Tattoo,"$102,515,793","$130,101,637","$232,617,430",Sony Pictures Entertainment (SPE),"$12,768,604","$90,000,000","Dec 21, 2011",R,2 hr 38 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
I Am Number Four,"$55,100,437","$94,778,000","$149,878,437",Walt Disney Studios Motion Pictures,"$19,449,893","$60,000,000","Feb 18, 2011",PG-13,1 hr 51 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
Footloose,"$51,802,742","$11,740,586","$63,543,328",Paramount Pictures,"$15,556,113","$24,000,000","Oct 14, 2011",PG-13,1 hr 53 min,"Comedy
    
        Drama
    
        Music
    
        Romance"
Diary of a Wimpy Kid: Rodrick Rules,"$52,698,535","$19,828,461","$72,526,996",Twentieth Century Fox,"$23,751,502","$21,000,000","Mar 25, 2011",PG,1 hr 40 min,"Comedy
    
        Family"
Source Code,"$54,712,227","$92,620,470","$147,332,697",Summit Entertainment,"$14,812,094","$32,000,000","Apr 1, 2011",PG-13,1 hr 33 min,"Action
    
        Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller"
TRON: Legacy,"$172,062,763","$228,000,000","$400,062,763",Walt Disney Studios Motion Pictures,"$44,026,211","$170,000,000","Dec 17, 2010",PG,2 hr 5 min,"Action
    
        Adventure
    
        Sci-Fi"
Insidious,"$54,009,150","$45,547,882","$99,557,032",FilmDistrict,"$13,271,464","$1,500,000","Apr 1, 2011",PG-13,1 hr 43 min,"Horror
    
        Mystery
    
        Thriller"
Friends with Benefits,"$55,802,754","$93,739,491","$149,542,245",Screen Gems,"$18,622,150","$35,000,000","Jul 22, 2011",R,1 hr 49 min,"Comedy
    
        Romance"
The Lincoln Lawyer,"$58,009,200","$28,743,152","$86,752,352",Lionsgate,"$13,206,453","$40,000,000","Mar 18, 2011",R,1 hr 58 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Water for Elephants,"$58,709,717","$58,385,185","$117,094,902",Twentieth Century Fox,"$16,842,353","$38,000,000","Apr 22, 2011",PG-13,2 hr 2 min,"Drama
    
        Romance"
Unknown,"$63,686,397","$72,023,632","$135,710,029",Warner Bros.,"$21,856,389","$30,000,000","Feb 18, 2011",PG-13,1 hr 53 min,"Action
    
        Mystery
    
        Thriller"
The Adjustment Bureau,"$62,495,645","$65,373,734","$127,869,379",Universal Pictures,"$21,157,730","$50,200,000","Mar 4, 2011",PG-13,1 hr 46 min,"Romance
    
        Sci-Fi
    
        Thriller"
Little Fockers,"$148,438,600","$162,211,985","$310,650,585",Universal Pictures,"$30,833,665","$100,000,000","Dec 22, 2010",PG-13,1 hr 38 min,"Comedy
    
        Romance"
No Strings Attached,"$70,662,220","$78,565,857","$149,228,077",Paramount Pictures,"$19,652,921","$25,000,000","Jan 21, 2011",R,1 hr 48 min,"Comedy
    
        Romance"
Filly Brown,"$2,850,357","$90,054","$2,940,411",Lionsgate,"$1,478,323","$2,000,000","Apr 19, 2013",R,1 hr 20 min,"Drama
    
        Music"
Hotel Transylvania,"$148,313,048","$210,062,555","$358,375,603",Sony Pictures Entertainment (SPE),"$42,522,194","$85,000,000","Sep 28, 2012",PG,1 hr 31 min,"Animation
    
        Comedy
    
        Family
    
        Fantasy"
Mr. Popper's Penguins,"$68,224,452","$119,137,302","$187,361,754",Twentieth Century Fox,"$18,445,355","$55,000,000","Jun 17, 2011",PG,1 hr 34 min,"Comedy
    
        Family
    
        Fantasy"
Metallica Through the Never,"$3,419,967","$4,555,845","$7,975,812",Picturehouse (II),"$1,576,561","$18,000,000","Sep 27, 2013",R,1 hr 33 min,Music
The To Do List,"$3,491,669","$417,927","$3,909,596",CBS Films,"$1,579,402","$1,500,000","Jul 26, 2013",R,1 hr 44 min,"Comedy
    
        Romance"
The Fifth Estate,"$3,255,008","$5,803,556","$9,058,564",Walt Disney Studios Motion Pictures,"$1,673,351","$28,000,000","Oct 18, 2013",R,2 hr 8 min,"Biography
    
        Crime
    
        Drama
    
        Thriller"
Justin Bieber's Believe,"$6,206,566","$4,773,591","$10,980,157",Open Road Films (II),"$2,007,567","$5,000,000","Dec 25, 2013",PG,1 hr 32 min,"Documentary
    
        Music"
The Wizard of Oz,"$5,633,202","$154,600","$5,787,802",Warner Bros.,"$3,093,998","$2,777,000","Sep 20, 2013",PG,1 hr 42 min,"Adventure
    
        Family
    
        Fantasy
    
        Musical"
The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737","$537,422,083","$829,746,820",Lionsgate,"$141,067,634","$120,000,000","Nov 16, 2012",PG-13,1 hr 55 min,"Adventure
    
        Drama
    
        Fantasy
    
        Romance"
Black Nativity,"$7,018,189","$435,996","$7,454,185",Fox Searchlight Pictures,"$3,669,530","$17,500,000","Nov 27, 2013",PG,1 hr 33 min,"Drama
    
        Family
    
        Music
    
        Musical"
Paranoia,"$7,388,654","$8,111,990","$15,500,644",Relativity Media,"$3,528,376","$35,000,000","Aug 16, 2013",PG-13,1 hr 46 min,"Drama
    
        Thriller"
Movie 43,"$8,840,453","$23,598,535","$32,438,988",Relativity Media,"$4,805,878","$6,000,000","Jan 25, 2013",R,1 hr 34 min,Comedy
Battle of the Year,"$8,888,355","$7,661,122","$16,549,477",Screen Gems,"$4,603,177","$20,000,000","Sep 20, 2013",PG-13,1 hr 50 min,"Drama
    
        Music"
Amour,"$6,739,492","$22,912,688","$29,652,180",Sony Pictures Classics,"$68,266","$8,900,000","Dec 19, 2012",PG-13,2 hr 7 min,Drama
Getaway,"$10,501,938","$1,304,494","$11,806,432",Warner Bros.,"$4,503,892","$18,000,000","Aug 30, 2013",PG-13,1 hr 30 min,"Action
    
        Thriller"
Peeples,"$9,177,065","$130,101","$9,307,166",Lionsgate,"$4,611,534","$15,000,000","May 10, 2013",PG-13,1 hr 35 min,"Comedy
    
        Romance"
The Last Stand,"$12,050,299","$36,280,458","$48,330,757",Lionsgate,"$6,281,433","$45,000,000","Jan 18, 2013",R,1 hr 47 min,"Action
    
        Thriller
    
        Western"
Jack and Jill,"$74,158,157","$75,515,631","$149,673,788",Sony Pictures Entertainment (SPE),"$25,003,575","$79,000,000","Nov 11, 2011",PG,1 hr 31 min,Comedy
Contagion,"$75,658,097","$60,857,770","$136,515,867",Warner Bros.,"$22,403,596","$60,000,000","Sep 9, 2011",PG-13,1 hr 46 min,"Drama
    
        Thriller"
Dolphin Tale,"$72,286,779","$23,645,786","$95,932,565",Warner Bros.,"$19,152,401","$37,000,000","Sep 23, 2011",PG,1 hr 53 min,"Drama
    
        Family"
Moneyball,"$75,605,492","$34,600,724","$110,206,216",Sony Pictures Entertainment (SPE),"$19,501,302","$50,000,000","Sep 23, 2011",PG-13,2 hr 13 min,"Biography
    
        Drama
    
        Sport"
Limitless,"$79,249,455","$82,600,000","$161,849,455",Relativity Media,"$18,907,302","$27,000,000","Mar 18, 2011",PG-13,1 hr 45 min,"Sci-Fi
    
        Thriller"
Tower Heist,"$78,046,570","$74,884,053","$152,930,623",Universal Pictures,"$24,025,190","$75,000,000","Nov 4, 2011",PG-13,1 hr 44 min,"Action
    
        Comedy
    
        Crime"
Zookeeper,"$80,360,843","$89,491,916","$169,852,759",Sony Pictures Entertainment (SPE),"$20,065,617","$80,000,000","Jul 8, 2011",PG,1 hr 42 min,"Comedy
    
        Family
    
        Fantasy
    
        Romance"
Battle Los Angeles,"$83,552,429","$128,266,925","$211,819,354",Sony Pictures Entertainment (SPE),"$35,573,187","$70,000,000","Mar 11, 2011",PG-13,1 hr 56 min,"Action
    
        Adventure
    
        Sci-Fi"
The Muppets,"$88,631,237","$76,553,000","$165,184,237",Walt Disney Studios Motion Pictures,"$29,239,026","$45,000,000","Nov 23, 2011",PG,2 hr,"Adventure
    
        Comedy
    
        Family
    
        Musical"
Immortals,"$83,504,017","$143,400,000","$226,904,017",Relativity Media,"$32,206,425","$75,000,000","Nov 11, 2011",R,1 hr 50 min,"Action
    
        Drama
    
        Fantasy
    
        Romance"
"Crazy, Stupid, Love.","$84,351,197","$60,700,000","$145,051,197",Warner Bros.,"$19,104,303","$50,000,000","Jul 29, 2011",PG-13,1 hr 58 min,"Comedy
    
        Drama
    
        Romance"
The Lion King,"$94,242,001","$91,300,000","$185,542,001",Walt Disney Studios Motion Pictures,"$30,151,614","$45,000,000","Sep 16, 2011",G,1 hr 28 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Musical"
Just Go with It,"$103,028,109","$111,917,482","$214,945,591",Sony Pictures Entertainment (SPE),"$30,514,732","$80,000,000","Feb 11, 2011",PG-13,1 hr 57 min,"Comedy
    
        Romance"
Alvin and the Chipmunks: Chipwrecked,"$133,110,742","$209,584,693","$342,695,435",Twentieth Century Fox,"$23,244,744","$75,000,000","Dec 16, 2011",G,1 hr 27 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Music
    
        Musical"
The Green Hornet,"$98,780,042","$129,037,206","$227,817,248",Sony Pictures Entertainment (SPE),"$33,526,876","$120,000,000","Jan 14, 2011",PG-13,1 hr 59 min,"Action
    
        Comedy
    
        Crime"
Cowboys & Aliens,"$100,240,551","$74,581,774","$174,822,325",Universal Pictures,"$36,431,290","$163,000,000","Jul 29, 2011",PG-13,1 hr 59 min,"Action
    
        Sci-Fi
    
        Thriller
    
        Western"
True Grit,"$171,243,005","$81,033,922","$252,276,927",Paramount Pictures,"$24,830,443","$38,000,000","Dec 22, 2010",PG-13,1 hr 50 min,"Drama
    
        Western"
Bad Teacher,"$100,292,856","$115,904,636","$216,197,492",Sony Pictures Entertainment (SPE),"$31,603,106","$20,000,000","Jun 24, 2011",R,1 hr 32 min,"Comedy
    
        Romance"
Paranormal Activity 3,"$104,028,807","$103,011,037","$207,039,844",Paramount Pictures,"$52,568,183","$5,000,000","Oct 21, 2011",R,1 hr 23 min,"Horror
    
        Mystery"
Hop,"$108,085,305","$75,868,418","$183,953,723",Universal Pictures,"$37,543,710","$63,000,000","Apr 1, 2011",PG,1 hr 35 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Green Lantern,"$116,601,172","$103,250,000","$219,851,172",Warner Bros.,"$53,174,303","$200,000,000","Jun 17, 2011",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Sci-Fi"
Horrible Bosses,"$117,538,559","$92,300,000","$209,838,559",Warner Bros.,"$28,302,165","$35,000,000","Jul 8, 2011",R,1 hr 38 min,"Comedy
    
        Crime"
Rango,"$123,477,607","$122,246,996","$245,724,603",Paramount Pictures,"$38,079,323","$135,000,000","Mar 4, 2011",PG,1 hr 47 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Western"
Super 8,"$127,004,179","$133,091,807","$260,095,986",Paramount Pictures,"$35,451,168","$50,000,000","Jun 10, 2011",PG-13,1 hr 52 min,"Action
    
        Mystery
    
        Sci-Fi
    
        Thriller"
The Smurfs,"$142,614,158","$421,135,165","$563,749,323",Sony Pictures Entertainment (SPE),"$35,611,637","$110,000,000","Jul 29, 2011",PG,1 hr 43 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Puss in Boots,"$149,260,504","$405,726,973","$554,987,477",DreamWorks,"$34,077,439","$130,000,000","Oct 28, 2011",PG,1 hr 30 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Rio,"$143,619,809","$340,246,709","$483,866,518",Twentieth Century Fox,"$39,225,962","$90,000,000","Apr 15, 2011",PG,1 hr 36 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Music
    
        Musical"
X-Men: First Class,"$146,408,305","$206,208,385","$352,616,690",Twentieth Century Fox,"$55,101,604","$160,000,000","Jun 3, 2011",PG-13,2 hr 11 min,"Action
    
        Adventure
    
        Sci-Fi"
Kung Fu Panda 2,"$165,249,063","$500,443,218","$665,692,281",DreamWorks,"$47,656,302","$150,000,000","May 26, 2011",PG,1 hr 30 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Bridesmaids,"$169,106,725","$119,276,798","$288,383,523",Universal Pictures,"$26,247,410","$32,500,000","May 13, 2011",R,2 hr 5 min,"Comedy
    
        Romance"
The Help,"$169,708,112","$46,931,000","$216,639,112",Walt Disney Studios Motion Pictures,"$26,044,590","$25,000,000","Aug 10, 2011",PG-13,2 hr 26 min,Drama
Cars 2,"$191,452,396","$368,400,000","$559,852,396",Walt Disney Studios Motion Pictures,"$66,135,507","$200,000,000","Jun 24, 2011",G,1 hr 46 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sport"
Rise of the Planet of the Apes,"$176,760,185","$305,040,688","$481,800,873",Twentieth Century Fox,"$54,806,191","$93,000,000","Aug 5, 2011",PG-13,1 hr 45 min,"Action
    
        Drama
    
        Sci-Fi
    
        Thriller"
Thor,"$181,030,624","$268,295,994","$449,326,618",Paramount Pictures,"$65,723,338","$150,000,000","May 6, 2011",PG-13,1 hr 55 min,"Action
    
        Adventure
    
        Fantasy"
Captain America: The First Avenger,"$176,654,505","$193,915,269","$370,569,774",Paramount Pictures,"$65,058,524","$140,000,000","Jul 22, 2011",PG-13,2 hr 4 min,"Action
    
        Adventure
    
        Sci-Fi"
Pirates of the Caribbean: On Stranger Tides,"$241,071,802","$804,642,000","$1,045,713,802",Walt Disney Studios Motion Pictures,"$90,151,958","$250,000,000","May 20, 2011",PG-13,2 hr 17 min,"Action
    
        Adventure
    
        Fantasy"
Fast Five,"$209,837,675","$416,300,000","$626,137,675",Universal Pictures,"$86,198,765","$125,000,000","Apr 29, 2011",PG-13,2 hr 10 min,"Action
    
        Adventure
    
        Crime
    
        Thriller"
The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133","$430,918,723","$712,205,856",Summit Entertainment,"$138,122,261","$110,000,000","Nov 18, 2011",PG-13,1 hr 57 min,"Adventure
    
        Drama
    
        Fantasy
    
        Romance
    
        Thriller"
The Hangover Part II,"$254,464,305","$332,300,000","$586,764,305",Warner Bros.,"$85,946,294","$80,000,000","May 26, 2011",R,1 hr 42 min,Comedy
Transformers: Dark of the Moon,"$352,390,543","$771,403,536","$1,123,794,079",DreamWorks,"$97,852,865","$195,000,000","Jun 29, 2011",PG-13,2 hr 34 min,"Action
    
        Adventure
    
        Sci-Fi"
Skyfall,"$304,360,277","$804,200,736","$1,108,561,013",Sony Pictures Entertainment (SPE),"$88,364,714","$200,000,000","Nov 9, 2012",PG-13,2 hr 23 min,"Action
    
        Adventure
    
        Thriller"
Wreck-It Ralph,"$189,422,889","$281,800,000","$471,222,889",Walt Disney Studios Motion Pictures,"$49,038,712","$165,000,000","Nov 2, 2012",PG,1 hr 41 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
"Monsters, Inc.","$34,043,006","$16,164,814","$50,207,820",Walt Disney Studios Motion Pictures,"$4,774,686","$115,000,000","Dec 19, 2012",G,1 hr 32 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Rise of the Guardians,"$103,412,758","$203,528,912","$306,941,670",DreamWorks,"$23,773,465","$145,000,000","Nov 21, 2012",PG,1 hr 37 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy"
The Last Exorcism Part II,"$15,179,302","$9,872,563","$25,051,865",CBS Films,"$7,728,354","$5,000,000","Mar 1, 2013",PG-13,1 hr 28 min,"Horror
    
        Thriller"
The Guilt Trip,"$37,134,215","$4,729,511","$41,863,726",Paramount Pictures,"$5,290,629","$40,000,000","Dec 19, 2012",PG-13,1 hr 35 min,"Comedy
    
        Drama"
